x,y,time
649.194,426.998,844734727905
647.834,427.91,844734758058
646.466,429.171,844734788307
645.218,429.758,844734818653
643.916,430.443,844734848709
642.218,431.121,844734878747
641.102,431.603,844734909093
639.781,431.622,844734939440
638.87,431.619,844734969495
638.768,432.11,844734999841
638.822,432.491,844735030091
638.994,432.8,844735060244
639.445,433.116,844735090406
639.578,433.32,844735120664
639.859,433.425,844735150817
639.823,433.475,844735181066
639.426,433.501,844735211104
639.388,433.479,844735241451
639.604,433.558,844735271622
639.565,433.588,844735301871
639.338,433.524,844735332023
638.854,433.428,844735362080
661.849,431.306,844735392426
723.797,428.656,844735422717
785.388,426.411,844735452975
830.109,425.608,844735483041
861.706,424.566,844735513281
880.737,425.171,844735543443
893.116,425.225,844735573789
901.422,426.437,844735604038
907.518,425.594,844735634384
911.334,425.359,844735664440
913.795,424.576,844735694786
915.897,423.902,844735724842
917.018,423.3,844735754995
917.742,422.858,844735785254
918.667,422.521,844735815407
919.068,422.464,844735845638
919.892,422.597,844735875800
920.698,423.006,844735906049
921.633,423.537,844735936202
922.765,423.928,844735966452
923.223,424.357,844735996816
923.897,424.731,844736026871
924.307,425.139,844736057208
924.305,425.223,844736087361
924.565,425.476,844736117611
924.3,425.108,844736147686
924.198,424.296,844736178023
923.502,423.655,844736208271
922.786,423.34,844736238424
922.474,423.12,844736268770
922.298,422.92,844736298818
921.836,422.761,844736328873
921.205,422.467,844736359219
920.527,422.061,844736389372
919.956,421.888,844736419622
916.858,425.186,844736449968
868.827,505.59,844736480314
808.853,609.502,844736510660
767.915,678.515,844736541015
746.945,713.161,844736571053
725.409,720.847,844736601390
712.826,725.355,844736631446
705.344,729.418,844736661599
702.998,730.425,844736691751
701.802,729.754,844736722088
693.983,727.531,844736752338
686.383,724.169,844736782491
681.588,722.195,844736812546
677.172,721.468,844736842787
674.446,721.069,844736872940
672.559,720.745,844736903286
671.2,720.311,844736933342
670.262,720.063,844736963688
669.029,719.997,844736993744
668.376,720.424,844737024090
667.751,720.874,844737054330
666.981,721.18,844737084483
672.129,723.119,844737114732
679.987,726.105,844737144982
689.494,729.468,844737175135
699.593,732.512,844737205385
708.702,735.4,844737235537
716.302,737.871,844737265883
722.688,739.818,844737296132
728.867,742.427,844737326285
733.763,745.253,844737356535
736.846,746.001,844737386881
738.828,746.206,844737416936
741.063,746.364,844737447107
744.116,746.79,844737477454
746.793,747.225,844737507510
748.036,747.302,844737537760
749.519,747.483,844737567913
761.007,746.143,844737598162
774.569,745.096,844737628393
788.206,744.809,844737658642
799.345,744.293,844737688914
808.988,743.506,844737719067
817.124,743.298,844737749317
824.39,720.567,844737779469
844.663,617.059,844737809544
866.152,518.823,844737839600
878.78,462.16,844737869744
885.224,431.978,844737899791
884.977,415.071,844737929944
883.609,405.264,844737960193
882.702,400.067,844737990355
885.132,389.459,844738020605
883.746,276.414,844738050679
883.045,179.855,844738080832
885.536,130.862,844738110976
884.126,107.341,844738141206
883.269,96.2753,844738171263
884.381,96.4612,844738201609
895.007,147.472,844738231674
903.419,192.936,844738262001
914.89,263.358,844738292356
924.383,318.488,844738322616
928.442,354.57,844738352980
930.551,373.049,844738383326
932.023,383.198,844738413383
930.125,392.962,844738443631
929.243,401.119,844738473784
928.367,406.156,844738503946
928.977,409.729,844738534196
929.861,413.001,844738564542
931.438,416.047,844738594598
931.17,418.472,844738624645
931.389,419.599,844738655000
932.87,420.395,844738685259
933.649,420.938,844738715412
934.138,421.776,844738745565
934.311,422.725,844738775814
934.541,423.668,844738805870
934.729,424.54,844738836207
934.445,425.515,844738866456
933.763,425.728,844738896609
933.068,426.156,844738926936
932.647,426.772,844738957011
932.274,427.31,844738987357
